name,id,latitude,longitude,zipcode,rating,url
Atlas New York,NM5zIT-skXifAK7DOM1CDw,40.75197,-73.9857,10018,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/GQRssjMyDBg5PPXlwrvwhA/o.jpg
146S4,HORUVFHXnPgIV9vo58uxVg,40.7115622,-73.9620808,11211,4,https://s3-media4.fl.yelpcdn.com/bphoto/tXkUWWGtXiyCY3DjwftzTg/o.jpg
Murray Hill Marquis,nMn1xDC1LijZv2Vl-GpCsA,40.7459,-73.97929,10016,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/PHA-psoivnh9l9x-pp6uzQ/o.jpg
70 Pine,AH2N2y9cWHjQD1ToPUsn5Q,40.706537,-74.007687,10270,4,https://s3-media1.fl.yelpcdn.com/bphoto/VIFtZlHY80w7n1EPyQGZfw/o.jpg
Building Equity Management,FJ2mQ5PyE0dLL2D9IUq0ng,40.7479343,-73.9885689,10001,5,https://s3-media3.fl.yelpcdn.com/bphoto/mw06PlgxP7stI7shrC-vTw/o.jpg
AKA Central Park,XBZI0dnAxY07fFIHT6_xog,40.76505014,-73.97670403,10019,3.5,https://s3-media4.fl.yelpcdn.com/bphoto/vnwXi7AkKTuDzsce95XtMg/o.jpg
Village Dwellings,KYP4CjM1mWAhU3b_UZGlNQ,40.73386,-74.00296,10014,5,https://s3-media1.fl.yelpcdn.com/bphoto/ofPEnRgrsW3TM03bVXRSbA/o.jpg
75 Wall Street,VXJDuQhUmCBErKYqIby24w,40.705152,-74.007988,10005,4,https://s3-media2.fl.yelpcdn.com/bphoto/bcT6vDvPLrWjNV0CvHVSQQ/o.jpg
SharedEasy,QBstv447M2YRQ89wFYdLtw,40.795162,-73.963674,10025,3.5,https://s3-media3.fl.yelpcdn.com/bphoto/L6oQDlYKu2Sd9dYH9lAw6g/o.jpg
Urban American Management,I-rRELQSL52RCO9wQHZFtg,40.7462,-73.9934323,10001,2,https://s3-media3.fl.yelpcdn.com/bphoto/pOS9o7bu6qxM0oQvY0buhA/o.jpg
Barclay Tower - Glenwood,OWRv-U-fK5mgkvDNfJEY5g,40.7123599,-74.00915,10007,4.5,https://s3-media4.fl.yelpcdn.com/bphoto/W6e6uITTNLj9L4dqWSoprQ/o.jpg
The Westport,5zqypgmaLHrxvlsCBqzOfA,40.76854,-73.98955,10019,5,https://s3-media2.fl.yelpcdn.com/bphoto/S-fYMzEDP6PAyCVqgIrcmA/o.jpg
424 Bedford,mc90DRm5C3nkTLlambekwQ,40.709458,-73.964337,11211,5,https://s3-media4.fl.yelpcdn.com/bphoto/BzFr8gR0_faPx1xTt0xnuQ/o.jpg
City Tower,qAxwT6f5cyCGml8XdGUQ5Q,40.6911205,-73.9823872,11201,3.5,https://s3-media3.fl.yelpcdn.com/bphoto/AYAWX6ppd-MqWDyJ2QQRUw/o.jpg
Windsor at Liberty House,P0YwkKeVxNy17DEpvHK6Yw,40.713559,-74.038973,7302,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/av9Avt_QdrXVTsHdYmxqmw/o.jpg
3333 Broadway,tyezSyhH670pbE9OJ5emKA,40.81999161,-73.95643084,10031,1.5,https://s3-media4.fl.yelpcdn.com/bphoto/pqDL8LTDOeSYkDl1SjF5fg/o.jpg
The Pinnacle,_f29TM3f-ewtZbgI4lAXEw,40.7189823,-73.83683047,11375,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/ycehgOx9euwmg02TdvER_w/o.jpg
20 Exchange Place Apartments,UpmVl2x5TiEbB2BxI2419w,40.7056777,-74.0094714,10005,3,https://s3-media3.fl.yelpcdn.com/bphoto/s_CEGk-9dH7urocY66idBA/o.jpg
Tribeca Park Luxury Apartments,iAfm2NKR9tiojt3ETlNMFg,40.71791202,-74.01479602,10282,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/ngdjzonqz1_0zkhRzzta7A/o.jpg
The Albert,ebQd3YIwmpCUMGG1IP8d2g,40.73269,-73.99345,10011,4,https://s3-media2.fl.yelpcdn.com/bphoto/scSRNDhsrAlxcp8T2KjsEg/o.jpg
The Modern,6FFRwiNxBCBga1WIWjTc7g,40.85272853,-73.96675963,7024,4,https://s3-media2.fl.yelpcdn.com/bphoto/sN6uvqATIQUk3kBKu6TsyQ/o.jpg
66 Rockwell Apartments,G6_TfG85i9PXxTPxYvxu7A,40.68815358,-73.97940346,11217,4,https://s3-media3.fl.yelpcdn.com/bphoto/X8gteT-aTphECi8B9rf8hw/o.jpg
388 Bridge,cem2B42uBpT5gQC6wMdA6A,40.6917147,-73.9854865,11201,5,https://s3-media3.fl.yelpcdn.com/bphoto/3jl1WjR55wMx-KVg8_1D1g/o.jpg
170 Amsterdam Apartments,K4U77Zpdl_70vOehUkKkXg,40.77593,-73.98382,10023,4,https://s3-media2.fl.yelpcdn.com/bphoto/vEoWoHvn5Tz6QNjEqY5ALw/o.jpg
34 Berry,607JKPkvrmyGUqtSA-o59w,40.72123633,-73.95637255,11249,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/2yLuGuysIC1jBpQj2ke4yg/o.jpg
88 Leonard,PSMwrS9B11e3iN-xBZhhbg,40.7170753,-74.004833,10013,4,https://s3-media3.fl.yelpcdn.com/bphoto/aL8Pc15qRRoiZDKKpgWw4A/o.jpg
The Edge,3kX5Qj0xTCduiWB5eVQACg,40.71944,-73.96224,11211,3.5,https://s3-media4.fl.yelpcdn.com/bphoto/53hET4MYgZHjQprS_n4gJw/o.jpg
Noonan Towers,uDqLM3TPn11a6aS6wpf2OQ,40.83074,-73.9295999,10452,5,https://s3-media3.fl.yelpcdn.com/bphoto/tz0LFLM8a2qMwU52-7St2A/o.jpg
The Vanguard Chelsea,TMgNXkMYwXD25PqQz33hbQ,40.74358,-73.9919199,10010,4,https://s3-media3.fl.yelpcdn.com/bphoto/LQwm9jrNtJdOONZx4I8IDA/o.jpg
Orion Condos,56Nox1ZWt5vWqnPV-SRKgQ,40.7578699,-73.99227,10036,5,https://s3-media2.fl.yelpcdn.com/bphoto/-TAeFL46zEfDqnAKDQK-HA/o.jpg
DVORA Art House,nJR6L4r0l3h9aGNCkq-e7g,40.72159822,-74.0398809,7302,4,https://s3-media2.fl.yelpcdn.com/bphoto/VYv9SgtuTtdqG_ntiqOzww/o.jpg
325 Kent,Kz8qKqs07GjX38qor50FMg,40.7134336,-73.9671576,11249,3,https://s3-media4.fl.yelpcdn.com/bphoto/RXznhv9Ytmy5kKgXo49aVw/o.jpg
Avalon Willoughby Square,#NAME?,40.6918,-73.98449,11201,3.5,https://s3-media3.fl.yelpcdn.com/bphoto/qc5P7uqrDPiFoE5knlNjhw/o.jpg
INSTRATA Gramercy Apartments,PpDTiO6JVE0CjdfJTrsiqg,40.7385802,-73.9836842,10010,3.5,https://s3-media4.fl.yelpcdn.com/bphoto/v5m6iBxZFkHIaUiMMniC5A/o.jpg
Chelsmore Apartments,jHfT1osBttkL7E-clNEiag,40.73964,-73.99986,10011,4,https://s3-media3.fl.yelpcdn.com/bphoto/c2aSwbwxUyH6X9375VhPOA/o.jpg
Beatrice Apartments,N8kPmjiU2y9iPPc69K2CgQ,40.74687,-73.99032,10001,4,https://s3-media4.fl.yelpcdn.com/bphoto/Y-HurZR9i_JhFqHMuBbL9g/o.jpg
21 West End,3FYwikQxiHQns754PUJNJQ,40.77301145,-73.99054635,10069,4,https://s3-media4.fl.yelpcdn.com/bphoto/9UGpmMxHWdcGm3XjNIvKRQ/o.jpg
One Hudson Yards,AV-Fa-EGg9ggHRxFCjjQtg,40.75255,-74.00273,10001,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/OePThhU_sXp8lT1XpQ09Ew/o.jpg
London Terrace,31zi_WdmXMs935D7hMNjWA,40.74751948,-74.00204122,10011,3.5,https://s3-media2.fl.yelpcdn.com/bphoto/2fsXbAaALFoU0rtCpHNf9A/o.jpg
One North Fourth,nQDr5Q3ibS7VtVGKfgLkMg,40.71948716,-73.96423853,11249,3.5,https://s3-media2.fl.yelpcdn.com/bphoto/6eCmt1_hLjY26N3PB9807Q/o.jpg
Brick & Mortar,VXyAG_bASc7Rc7bMUENyVQ,40.7183971,-73.9583791,11249,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/sZB3a4kRRCnn8WyYyJedRA/o.jpg
Herald Towers,TxyN6RbnJ4bFyK4Spv4Igg,40.74916,-73.98701,10001,3,https://s3-media2.fl.yelpcdn.com/bphoto/gFJtMJxeoLWhNAyDaKLJnw/o.jpg
Sky,Uda5SoL9qky-kYS58_DABg,40.761309,-73.99881,10036,2.5,https://s3-media2.fl.yelpcdn.com/bphoto/rLBed3_3HY9ye9esX0hiIA/o.jpg
StuyTown,u0C5pOEqhu_5kROBAGPZNQ,40.731763,-73.98196528,10009,2.5,https://s3-media1.fl.yelpcdn.com/bphoto/sgvZYNnwgRB7Hpx1UpPAqQ/o.jpg
Avalon Riverview,AoyWsc2YrAqmHmZuOg416w,40.74537,-73.95807,11109,3.5,https://s3-media3.fl.yelpcdn.com/bphoto/-NR75UZ18TU-J6cfYYsC6Q/o.jpg
