uid,name,url,latitude,longitude,zipcode,rating,cluster,starting_price,res_score,bus_score,subway_score,traffic_score,res_score_raw,bus_score_raw,subway_score_raw
25,The BLVD Collection,https://s3-media1.fl.yelpcdn.com/bphoto/lfA0VDodIZiB_s-xdlR5xQ/o.jpg,40.72252239,-74.0366312,7310,4.5,121,1750,2.671032869,3.886515754,3.725836794,3.806176274,53.42065738,77.73031507,74.51673587
26,Prism at Park Avenue South Apartments,https://s3-media3.fl.yelpcdn.com/bphoto/3mviVe1DQrTpLvdhZnqV_A/o.jpg,40.743618,-73.9851303,10016,4,146,1794.56467,3.296273002,3.981697681,0,1.990848841,65.92546003,79.63395362,0
27,Gotham West,https://s3-media2.fl.yelpcdn.com/bphoto/CJT0MqfCWcLO5Mmvb1i7Hw/o.jpg,40.76213734,-73.99708713,10036,4,155,1488.666667,3.296273002,3.885125863,1.852216298,2.868671081,65.92546003,77.70251726,37.04432596
28,City Wide Apartments,https://s3-media3.fl.yelpcdn.com/bphoto/l8F_sfMymXD3frbHB1o-6w/o.jpg,40.75471851,-73.99200613,10018,4.5,34,1166.666667,3.409953026,3.818438447,2.739588986,3.279013716,68.19906051,76.36876894,54.79177971
29,146S4,https://s3-media4.fl.yelpcdn.com/bphoto/tXkUWWGtXiyCY3DjwftzTg/o.jpg,40.7115622,-73.9620808,11211,4,165,1366.340149,2.400095479,3.901258578,1.582057525,2.741658051,48.00190957,78.02517155,31.6411505
30,East Village Apartments By Sudha,https://s3-media1.fl.yelpcdn.com/bphoto/sGvJ4H2FLcRNDHE1yHNj9Q/o.jpg,40.725643,-73.990441,10003,5,109,921.1714159,1.5,3.677125262,0,1.838562631,30,73.54250524,0
31,AKA Central Park,https://s3-media4.fl.yelpcdn.com/bphoto/vnwXi7AkKTuDzsce95XtMg/o.jpg,40.76505014,-73.97670403,10019,3.5,30,1562.120367,4.296657214,3.666858126,1.370914297,2.518886212,85.93314427,73.33716252,27.41828594
32,Building Equity Management,https://s3-media3.fl.yelpcdn.com/bphoto/mw06PlgxP7stI7shrC-vTw/o.jpg,40.7479343,-73.9885689,10001,5,146,1000,3.296273002,3.874981038,1.716235872,2.795608455,65.92546003,77.49962075,34.32471743
33,75 Wall Street,https://s3-media2.fl.yelpcdn.com/bphoto/bcT6vDvPLrWjNV0CvHVSQQ/o.jpg,40.705152,-74.007988,10005,4,147,866.3333333,5,3.898228702,2.943120735,3.420674718,100,77.96457403,58.86241469
34,SharedEasy,https://s3-media3.fl.yelpcdn.com/bphoto/L6oQDlYKu2Sd9dYH9lAw6g/o.jpg,40.795162,-73.963674,10025,3.5,6,2705.680102,3.046176949,3.456148713,3.285572341,3.370860527,60.92353897,69.12297425,65.71144682
35,Atlas New York,https://s3-media3.fl.yelpcdn.com/bphoto/GQRssjMyDBg5PPXlwrvwhA/o.jpg,40.75197,-73.9857,10018,4.5,98,1100,1.858220697,3.723200573,1.466311273,2.594755923,37.16441394,74.46401146,29.32622546
36,Murray Hill Marquis,https://s3-media3.fl.yelpcdn.com/bphoto/PHA-psoivnh9l9x-pp6uzQ/o.jpg,40.7459,-73.97929,10016,4.5,2,2222.648132,5,3.698649174,3.784496909,3.741573041,100,73.97298347,75.68993817
37,3333 Broadway,https://s3-media4.fl.yelpcdn.com/bphoto/pqDL8LTDOeSYkDl1SjF5fg/o.jpg,40.81999161,-73.95643084,10031,1.5,114,2196.382839,2.671032869,3.792149122,1.667690314,2.729919718,53.42065738,75.84298244,33.35380628
38,77 Hudson,https://s3-media3.fl.yelpcdn.com/bphoto/VZfVBL9NeyCr3EueehljCA/o.jpg,40.71459076,-74.035003,7302,5,84,2000,1.5,0,3.14284379,1.571421895,30,0,62.85687579
