,name,latitude,longitude,zipcode,rating,categories,transactions,cluster,centroids
33,For All Things Good,40.68763001,-73.95682007,11238,4.5,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'mexican', 'title': 'Mexican'}]",['delivery'],11,0
34,Banh,40.80085,-73.96562,10025,4.5,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",['delivery'],6,0
35,Yi Ji Shi Mo Noodle Corp,40.71824,-73.99583,10013,4.5,"[{'alias': 'chinese', 'title': 'Chinese'}]",['delivery'],86,0
36,Landhaus,40.7043648,-73.9933243,11201,4,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]",[],160,0
37,Woorijip,40.74747,-73.98648,10001,4,"[{'alias': 'korean', 'title': 'Korean'}]","['delivery', 'pickup']",98,0
38,Spicy Village,40.71695,-73.99327,10002,4,"[{'alias': 'chinese', 'title': 'Chinese'}]","['delivery', 'pickup']",62,0
39,Oxomoco,40.7299099,-73.95548,11222,4,"[{'alias': 'mexican', 'title': 'Mexican'}]",['delivery'],124,0
40,Pecking House,40.69004,-73.96538,11205,4,"[{'alias': 'cantonese', 'title': 'Cantonese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",[],73,0
41,Butler,40.70326707,-73.99224193,11201,4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]","['delivery', 'pickup']",160,0
42,Dekalb Market Hall,40.691025,-73.983311,11201,4,"[{'alias': 'food_court', 'title': 'Food Court'}]",[],40,0
43,Samurai Mama,40.71402088,-73.96032572,11211,4,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]","['delivery', 'pickup']",132,0
44,Duckedup,40.7205,-73.98826,10002,4.5,"[{'alias': 'dimsum', 'title': 'Dim Sum'}]",[],141,0
45,Chote Miya,40.70341948,-73.99160732,11201,4.5,"[{'alias': 'indpak', 'title': 'Indian'}]",['delivery'],160,0
